batch_size,checkpoint_path,eval_log,extval_jmdc.auc_mean,extval_jmdc.auc_median,extval_jmdc.shift_accuracy,extval_jmdc.shift_f1_macro_drug_cond,extval_jmdc.total_mae_drug_cond,extval_jmdc.total_r2_drug_cond,extval_jmdc.total_rmse_drug_cond,grad_accumulation,model_scale,n_embd,n_head,n_kv_head,n_layer,num_params,test.auc_mean,test.auc_median,test.shift_accuracy,test.shift_f1_macro_drug_cond,test.total_mae_drug_cond,test.total_r2_drug_cond,test.total_rmse_drug_cond,train_log,val.auc_mean,val.auc_median,val.shift_accuracy,val.shift_f1_macro_drug_cond,val.total_mae_drug_cond,val.total_r2_drug_cond,val.total_rmse_drug_cond
128,/home/hsh/GPT-Disease-Drug-Prediction/ablation/model_size/size_ablation_0301/small/train_out/ckpt_composite.pt,/home/hsh/GPT-Disease-Drug-Prediction/ablation/model_size/size_ablation_0301/small/logs/eval.log,0.6664197373989705,0.6768265111105782,0.1339622641509434,0.5232953698485606,7.0061211585998535,0.6426434516906738,13.195632235062018,1,small,256,8,4,8,37284798,0.7475376773268843,0.7563618123531342,0.05378939232642585,0.45848502437288624,4.346131801605225,0.7029528617858887,11.80677357891435,/home/hsh/GPT-Disease-Drug-Prediction/ablation/model_size/size_ablation_0301/small/logs/train.log,0.7354640262508246,0.7465912501017252,0.12420493777449687,0.5530458986201557,3.931995153427124,0.7410061359405518,9.26632651749906
96,/home/hsh/GPT-Disease-Drug-Prediction/ablation/model_size/size_ablation_0301/medium/train_out/ckpt_composite.pt,/home/hsh/GPT-Disease-Drug-Prediction/ablation/model_size/size_ablation_0301/medium/logs/eval.log,0.644669842620847,0.6534281894564629,0.13399042523232893,0.5280443379583799,7.138535499572754,0.6326040029525757,13.37970686473111,1,medium,384,12,4,12,121953662,0.7274304867705564,0.7380329767862955,0.05796013008035233,0.45528092005148313,4.182333946228027,0.7014946341514587,11.835717046214263,/home/hsh/GPT-Disease-Drug-Prediction/ablation/model_size/size_ablation_0301/medium/logs/train.log,0.7121815713030459,0.725686663389206,0.12405580535236263,0.553196530162797,3.8466744422912598,0.7415767908096313,9.256111394345428
48,/home/hsh/GPT-Disease-Drug-Prediction/ablation/model_size/size_ablation_0301/large/train_out/ckpt_composite.pt,/home/hsh/GPT-Disease-Drug-Prediction/ablation/model_size/size_ablation_0301/large/logs/eval.log,0.6613447451278316,0.6618852189608982,0.1339622641509434,0.541483763177623,7.225502967834473,0.6318880319595337,13.392736350831768,2,large,512,16,4,16,285243198,0.7267177466794938,0.7403382956981659,0.05335919385180756,0.46260441887989345,4.4941911697387695,0.6874683499336243,12.110595956592233,/home/hsh/GPT-Disease-Drug-Prediction/ablation/model_size/size_ablation_0301/large/logs/train.log,0.7065935590809566,0.7210000082850456,0.12379482361362772,0.5511205557612631,3.951138496398926,0.7357341051101685,9.360163634736466
